name,nickname,score,count,platform,date,dna,company,tag,url
缺氧,Oxygen Not Included,8.3,112,['PC'],2017-05-18,"['模拟', '生存', '沙箱']",Klei Entertainment,"['模拟', '生存', '沙箱']",https://www.vgtime.com/game/10100.jhtml
饥荒,Don't Starve,8.2,706,"['PC', 'WiiU', 'XBone', 'PSV', 'PS3', 'PS4', 'Switch']",2014-01-07,"['生存', '沙箱', '冒险']",Klei Entertainment,"['生存', '沙箱', '冒险']",https://www.vgtime.com/game/563.jhtml
忍者印记,Mark of the Ninja,8.2,74,"['PC', 'X360', 'Switch']",2012-09-07,['动作'],Klei Entertainment,['动作'],https://www.vgtime.com/game/3204.jhtml
饥荒 联机版,Don't Starve Together,8.0,94,['PC'],2014-12-05,['冒险'],Klei Entertainment,['冒险'],https://www.vgtime.com/game/10143.jhtml
Shank2,Shank2,7.9,77,"['PC', 'X360', 'PS3']",2012-02-07,['动作'],Klei Entertainment,['动作'],https://www.vgtime.com/game/3186.jhtml
勇者30 SECOND,勇者30 SECOND,-1.0,-1,['PSP'],2011-08-04,['角色扮演'],OPUS,['角色扮演'],https://www.vgtime.com/game/2802.jhtml
彩虹岛 进化,Rainbow Islands Revolution,-1.0,-1,['PSP'],2008-01-22,['动作'],Marvelous,['动作'],https://www.vgtime.com/game/385.jhtml
胧村正,Muramasa Rebirth,8.8,822,"['Wii', 'PSV']",2013-03-28,"['动作', '角色扮演']",Vanillaware,"['动作', '角色扮演', '2D横版过关']",https://www.vgtime.com/game/1292.jhtml
瓦尔哈拉骑士3:黄金版,Valhalla Knights 3 Gold,-1.0,-1,['PSV'],2014-02-27,['角色扮演'],K2 Games,['角色扮演'],https://www.vgtime.com/game/1632.jhtml
闪乱神乐 桃色沙滩,Peach Beach Splash,8.4,121,['PS4'],2017-03-16,"['动作', '射击']",Tamsoft,"['动作', '射击']",https://www.vgtime.com/game/4413.jhtml
符文工房4,ルーンファクトリー4,8.5,133,['3DS'],2012-07-19,['模拟'],Neverland,['模拟'],https://www.vgtime.com/game/1762.jhtml
闪乱神乐 -少女们的真影-,閃乱カグラ -少女達の真影-,-1.0,-1,['3DS'],2011-09-22,['动作'],Marvelous,['动作'],https://www.vgtime.com/game/2028.jhtml
Fate/EXTRA CCC,フェイト／エクストラ CCC,8.3,20,['PSP'],2013-03-28,['角色扮演'],Marvelous,['角色扮演'],https://www.vgtime.com/game/2732.jhtml
风之旅人,Journey,8.9,1537,"['PS3', 'PS4']",2012-03-13,"['动作', '冒险']",thatgamecompany,"['动作', '冒险', '解迷']",https://www.vgtime.com/game/643.jhtml
猎天使魔女2,Bayonetta 2,8.9,591,"['WiiU', 'Switch']",2014-09-20,"['动作', '平台']",PlatinumGames,"['动作', '平台', '鞭挞我蹂躏我', '两条腿可以让我撸一年', '贝姐赛高', 'ACT的文艺复兴']",https://www.vgtime.com/game/692.jhtml
尼尔 机械军团,NieR Automata,8.9,2839,"['PC', 'XBone', 'PS4']",2017-02-23,"['动作', '角色扮演', '科幻', '第三人称', '弹幕', '开放世界']",PlatinumGames,"['动作', '角色扮演', '科幻', '第三人称', '弹幕', '开放世界', '2B小姐姐', '屁股', '大胸妹', '催泪', '猛男落泪', '炫酷', '这胸大吗', '音乐超好听', '剧情感人', '操作无聊重复剧情', '买音乐送游戏', '营养跟不上']",https://www.vgtime.com/game/2235.jhtml
征服,Vanquish,8.3,99,"['X360', 'PS3']",2010-10-19,"['第三人称', '射击']",PlatinumGames,"['第三人称', '射击']",https://www.vgtime.com/game/3946.jhtml
潜龙谍影崛起：复仇,Metal Gear Rising: Revegeance,8.2,609,"['PC', 'X360', 'PS3']",2013-02-19,['动作'],PlatinumGames,"['动作', '白金工作室']",https://www.vgtime.com/game/2688.jhtml
猎天使魔女,Bayonetta,8.7,924,"['PC', 'WiiU', 'X360', 'PS3', 'Switch']",2009-10-29,['动作'],PlatinumGames,['动作'],https://www.vgtime.com/game/31.jhtml
变形金刚：破坏战士,Transformers: Devastation,7.4,245,"['PC', 'X360', 'XBone', 'PS3', 'PS4']",2015-10-06,"['动作', '科幻', '第三人称']",PlatinumGames,"['动作', '科幻', '第三人称']",https://www.vgtime.com/game/2196.jhtml
神奇101,The Wonderful 101,8.0,21,['WiiU'],2013-08-24,['动作'],PlatinumGames,['动作'],https://www.vgtime.com/game/808.jhtml
极度混乱,Max Anarchy,-1.0,-1,"['X360', 'PS3']",2012-07-05,['动作'],PlatinumGames,['动作'],https://www.vgtime.com/game/3117.jhtml
即插即玩,Plug & Play,-1.0,-1,"['PC', 'Android', 'iOS']",2015-03-06,"['动作', '恐怖', '独立']",Michael Frei,"['动作', '恐怖', '独立']",https://www.vgtime.com/game/10681.jhtml
超级幸运狐,Super Lucky＇s Tale,-1.0,-1,"['PC', 'XBone']",2017-09-07,"['动作', '平台']",Playful,"['动作', '平台']",https://www.vgtime.com/game/10396.jhtml
幸运狐,Lucky's Tale,-1.0,-1,['PC'],2016-03-28,"['动作', '平台']",Playful,"['动作', '平台']",https://www.vgtime.com/game/3520.jhtml
故乡物语,Hometown Story,-1.0,-1,['3DS'],2013-10-31,"['角色扮演', '模拟']",Toybox Games,"['角色扮演', '模拟']",https://www.vgtime.com/game/1951.jhtml
僵尸大亨2,Zombie Tycoon 2: Brainhov's Revenge,-1.0,-1,"['PSP', 'PSV']",2013-04-30,['即时战略'],Frima Studio,['即时战略'],https://www.vgtime.com/game/1671.jhtml
隐形妖怪 联盟,Invizimals: The Alliance,-1.0,-1,['PSV'],2014-12-31,['动作'],Novarama,['动作'],https://www.vgtime.com/game/1149.jhtml
初音冰球AR2.0,Miku Miku Hockey 2.0,-1.0,-1,['PSV'],2014-02-13,['体育'],Sony Interactive Entertainment,['体育'],https://www.vgtime.com/game/1261.jhtml
海洋假期 堡礁秘辛,AQUANAUT'S HOLIDAY ~隠された記録~,-1.0,-1,['PS3'],2008-09-25,"['动作', '冒险']",Artdink,"['动作', '冒险']",https://www.vgtime.com/game/3266.jhtml
最后生还者,THE LAST OF US,9.5,2212,['PS3'],2013-06-14,"['动作', '冒险']",Naughty Dog,"['动作', '冒险', '最经典', '索尼的王牌', '开讲']",https://www.vgtime.com/game/2963.jhtml
最后生还者 重制版,The Last of Us Remastered,9.5,4772,['PS4'],2014-07-29,"['动作', '角色扮演', '生存', '冒险', '第三人称', '潜入']",Naughty Dog,"['动作', '角色扮演', '生存', '恐怖', '冒险', '第三人称', '潜入', '神作', '惊悚', 'good', 'goo', 'very', '我就是要叫它美国末日', '没文化才叫她美国末日', '美国末日？', '闭嘴，你就叫美国末日', '叫什么无所谓啦', '同性恋', '萝莉控', '白痴US指的不是美国', '怎么下', '到底叫什么', '“美国”也蛮有意境的', '拳击游戏', '美国有萝莉']",https://www.vgtime.com/game/665.jhtml
仙境传说奥德赛,Ragnarok Odyssey,6.6,147,"['PSV', 'PS3']",2012-02-02,"['动作', '角色扮演']",Game Atelier,"['动作', '角色扮演']",https://www.vgtime.com/game/1386.jhtml
监视者,Beholder,8.1,115,['PC'],2016-11-09,"['策略', '模拟']",Warm Lamp Games,"['策略', '模拟']",https://www.vgtime.com/game/10177.jhtml
勇者斗恶龙 怪物战斗之路 胜利,ドラゴンクエスト モンスターバトルロードビクトリー,-1.0,-1,['Wii'],2010-07-15,['卡牌'],Rocket Studio,['卡牌'],https://www.vgtime.com/game/3893.jhtml
寄生前夜2,パラサイト・イヴ2,-1.0,-1,"['PS', 'PSP', 'PS3']",1999-12-16,"['角色扮演', '生存', '恐怖']",Square Enix,"['角色扮演', '生存', '恐怖']",https://www.vgtime.com/game/10965.jhtml
圣剑传说：玛娜崛起,Rise of Mana,-1.0,-1,['PSV'],2015-05-14,['角色扮演'],Square Enix,['角色扮演'],https://www.vgtime.com/game/1415.jhtml
勇者斗恶龙11 追忆逝去之时,ドラゴンクエストXI　過ぎ去りし時を求めて,9.1,1535,"['PC', '3DS', 'PS4', 'Switch']",2017-07-29,"['动作', '角色扮演', '冒险', '第三人称']",Toylogic,"['动作', '角色扮演', '冒险', '第三人称', 'JRPG', '神作', '童年', '国民RPG', '跳票', 'jrpg的鼻祖']",https://www.vgtime.com/game/2507.jhtml
超时空之钥,クロノ·トリガー,9.0,145,"['PC', 'Android', 'iOS', 'NDS', 'Wii', 'PS', 'PSP', 'PSV', 'PS3', 'SFC']",1995-03-11,['角色扮演'],Square Enix,"['角色扮演', '史克威尔']",https://www.vgtime.com/game/3389.jhtml
圣剑传说DS 玛娜之子,聖剣伝説DS チルドレン オブ マナ,-1.0,-1,['NDS'],2006-03-02,"['动作', '角色扮演']",Square Enix,"['动作', '角色扮演']",https://www.vgtime.com/game/3498.jhtml
浪漫沙加 吟游者之歌,ロマンシング サガ -Minstrel Song-,-1.0,-1,['PS2'],2005-04-21,['角色扮演'],Square Enix,['角色扮演'],https://www.vgtime.com/game/4066.jhtml
疯狂的麦克斯,Mad Max,7.5,364,"['PC', 'XBone', 'PS4']",2015-09-01,"['沙箱', '射击']",Avalanche Studios,"['沙箱', '射击']",https://www.vgtime.com/game/192.jhtml
正当防卫3,Just Cause 3,7.5,399,"['PC', 'XBone', 'PS4']",2015-12-01,"['动作', '冒险']",Avalanche Studios,"['动作', '冒险']",https://www.vgtime.com/game/162.jhtml
正当防卫2,Just Cause 2,7.0,69,"['PC', 'X360', 'PS3']",2010-03-23,"['沙箱', '第三人称', '射击']",Avalanche Studios,"['沙箱', '第三人称', '射击']",https://www.vgtime.com/game/3827.jhtml
索尼克历代记 来自暗次元的侵略者,ソニッククロニクル 闇次元からの侵略者,-1.0,-1,['NDS'],2009-08-06,['角色扮演'],SEGA,['角色扮演'],https://www.vgtime.com/game/2483.jhtml
索尼克与秘密指环,Sonic and the Secret Rings,-1.0,-1,['Wii'],2007-02-20,"['动作', '平台']",Nowpro,"['动作', '平台']",https://www.vgtime.com/game/3234.jhtml
初音未来 歌姬计划 梦想剧场2,初音ミク -Project DIVA- ドリーミーシアター 2nd,-1.0,-1,['PS3'],2011-08-04,['音乐'],SEGA,['音乐'],https://www.vgtime.com/game/2909.jhtml
索尼克冲击 大冒险,SonicRush Adventure,-1.0,-1,['NDS'],2007-09-18,['动作'],Sonic Team,['动作'],https://www.vgtime.com/game/3686.jhtml
奇迹少女：祭典,ミラクルガールズ　フェスティバル,-1.0,-1,['PSV'],2015-12-17,['音乐'],SEGA,['音乐'],https://www.vgtime.com/game/2414.jhtml
叛乱,Insurgency,7.7,18,['PC'],2014-01-22,"['主视角', '射击']",New World Interactive,"['主视角', '射击']",https://www.vgtime.com/game/10193.jhtml
超时空战队,Super Time Force,7.5,11,"['PC', 'X360', 'XBone', 'PSV', 'PS4']",2014-05-14,['射击'],Capybara Games,['射击'],https://www.vgtime.com/game/411.jhtml
方舟：生存进化,Ark: Survival Evolved,8.4,89,"['PC', 'Android', 'iOS', 'XBone', 'PS4', 'Switch']",2017-08-30,"['生存', '沙箱']",Studio Wildcard,"['生存', '沙箱', '冒险', '开放世界', 'eQ']",https://www.vgtime.com/game/3509.jhtml
死神来了,Death Coming,-1.0,-1,['PC'],2017-11-06,"['策略', '解谜', '俯视角']",NEXT Studio,"['策略', '解谜', '俯视角']",https://www.vgtime.com/game/10571.jhtml
