name,nickname,score,count,platform,date,dna,company,tag,url,img
蒸汽世界 开采2,Steamworld Dig 2,8.3,79,"['PC', '3DS', 'PS4', 'Switch']",2017-08-21,"['动作', '平台']",Image & Form Games,"['动作', '平台']",https://www.vgtime.com/game/10506.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121190854933.jpg
原始旅程,Original Journey,-1.0,-1,[],2017-08-17,"['动作', '平台', '射击']",null,"['动作', '平台', '射击']",https://www.vgtime.com/game/10469.jhtml,https://img01.vgtime.com/game/cover/2017/08/14/170814180837130.jpg
逃脱者2,The Escapists 2,7.8,22,"['PC', 'XBone', 'PS4', 'Switch']",2017-08-22,"['策略', '俯视角']",Team17,"['策略', '俯视角']",https://www.vgtime.com/game/10482.jhtml,https://img01.vgtime.com/game/cover/2017/08/22/170822121147847.jpg
怀疑,Distrust,-1.0,-1,['PC'],2017-08-23,"['生存', '恐怖', '俯视角', '独立']",null,"['生存', '恐怖', '俯视角', '独立']",https://www.vgtime.com/game/10492.jhtml,https://img01.vgtime.com/game/cover/2017/08/29/170829104429960.jpg
茶杯头大冒险,Cuphead,8.9,495,"['PC', 'XBone']",2017-09-29,"['动作', '射击', '独立']",Studio MDHR,"['动作', '射击', '独立', '受苦']",https://www.vgtime.com/game/464.jhtml,https://img01.vgtime.com/game/cover/2017/06/12/170612082616916.jpg
FIFA 18,,8.1,372,"['PC', 'X360', 'XBone', 'PS3', 'PS4', 'Switch']",2017-09-29,"['模拟', '体育']",EA,"['模拟', '体育', '中文']",https://www.vgtime.com/game/10344.jhtml,https://img01.vgtime.com/game/cover/2017/11/28/171128133353932.jpg
新次元游戏：海王星VIIR,新次元ゲイム ネプテューヌVIIR,-1.0,-1,"['PC', 'PS4']",2017-08-24,"['动作', '角色扮演']",Compile Heart,"['动作', '角色扮演']",https://www.vgtime.com/game/10118.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121191812176.jpg
深夜廻,Yomawari: Midnight Shadows,8.2,73,"['PC', 'PSV', 'PS4', 'Switch']",2017-08-24,"['角色扮演', '恐怖', '俯视角']",日本一,"['角色扮演', '恐怖', '俯视角']",https://www.vgtime.com/game/10183.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121192012938.jpg
失落之子,The Lost Child,-1.0,-1,"['PSV', 'PS4']",2017-08-24,['角色扮演'],Kadokawa Games,['角色扮演'],https://www.vgtime.com/game/10337.jhtml,https://img01.vgtime.com/game/cover/2017/06/05/170605113932774.jpg
F1 2017,,8.1,18,"['PC', 'XBone', 'PS4']",2017-08-25,['竞速'],Codemasters,['竞速'],https://www.vgtime.com/game/10300.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/171121192252165.jpg
怪物猎人XX Switch Ver.,モンスターハンターダブルクロス Nintendo Switch Ver.,8.8,763,['Switch'],2017-08-25,"['动作', '角色扮演', '生存', '多人']",CAPCOM,"['动作', '角色扮演', '生存', '多人', '旧时代集大成之作', '猛汉无双']",https://www.vgtime.com/game/10464.jhtml,https://img01.vgtime.com/game/cover/2017/08/09/170809121408250.jpg
流言侦探 活着的死者,流言侦探：活着的死者,7.9,69,"['PC', 'Android', 'iOS']",2017-08-28,"['解谜', '文字', '冒险', '独立']",WoodenWolf Studio,"['解谜', '文字', '冒险', '独立']",https://www.vgtime.com/game/10494.jhtml,https://img01.vgtime.com/game/cover/2017/11/21/17112119292630.png
赦免者,Absolver,-1.0,-1,"['PC', 'PS4']",2017-08-29,"['动作', '角色扮演', 'MMO']",Sloclap,"['动作', '角色扮演', 'MMO']",https://www.vgtime.com/game/4188.jhtml,https://img01.vgtime.com/photo/web/160527131820114.jpg
马里奥+疯兔 王国之战,Mario + Rabbids Kingdom Battle,8.3,581,['Switch'],2017-08-29,"['策略', '第三人称', '射击']",Ubisoft,"['策略', '第三人称', '射击', 'XOOM']",https://www.vgtime.com/game/10386.jhtml,https://img01.vgtime.com/game/cover/2018/01/26/180126191134375.jpg
幽浮2：天选者之战,XCOM 2: War of the Chosen,8.6,38,['PC'],2017-08-29,['策略'],Firaxis Games,['策略'],https://www.vgtime.com/game/10544.jhtml,
无夜国度2 新月的新娘,よるのないくに2 新月の花嫁,6.9,43,"['PC', 'PSV', 'PS4', 'Switch']",2017-08-31,"['动作', '角色扮演', '第三人称']",Gust,"['动作', '角色扮演', '第三人称', '1代没有打击感']",https://www.vgtime.com/game/4383.jhtml,https://img01.vgtime.com/game/cover/2017/05/02/17050211214974.jpg
